Date,Action,Type,PlaceId,Status,Counter
2024-11-09,bet,landbase,1,success,0
2024-11-09,bet,landbase,1,failure,0
2024-11-09,bet,landbase,127-69,success,0
2024-11-09,bet,landbase,127-69,failure,0
2024-11-09,bet,landbase,127-77,success,0
2024-11-09,bet,landbase,127-77,failure,0
2024-11-09,bet,landbase,127-89,success,0
2024-11-09,bet,landbase,127-89,failure,0
2024-11-09,bet,landbase,127-65,success,0
2024-11-09,bet,landbase,127-65,failure,0
2024-11-09,bet,landbase,127-76,success,0
2024-11-09,bet,landbase,127-76,failure,0
2024-11-09,bet,landbase,127-71,success,0
2024-11-09,bet,landbase,127-71,failure,0
2024-11-09,bet,landbase,127-72,success,0
2024-11-09,bet,landbase,127-72,failure,0
2024-11-09,bet,web,1,success,0
2024-11-09,bet,web,1,failure,0
2024-11-09,bet,web,127-69,success,44
2024-11-09,bet,web,127-69,failure,0
2024-11-09,bet,web,127-77,success,0
2024-11-09,bet,web,127-77,failure,0
2024-11-09,bet,web,127-89,success,0
2024-11-09,bet,web,127-89,failure,0
2024-11-09,bet,web,127-65,success,0
2024-11-09,bet,web,127-65,failure,0
2024-11-09,bet,web,127-76,success,0
2024-11-09,bet,web,127-76,failure,0
2024-11-09,bet,web,127-71,success,0
2024-11-09,bet,web,127-71,failure,0
2024-11-09,bet,web,127-72,success,0
2024-11-09,bet,web,127-72,failure,0
2024-11-09,clear,landbase,1,success,0
2024-11-09,clear,landbase,1,failure,0
2024-11-09,clear,landbase,127-69,success,0
2024-11-09,clear,landbase,127-69,failure,0
2024-11-09,clear,landbase,127-77,success,0
2024-11-09,clear,landbase,127-77,failure,0
2024-11-09,clear,landbase,127-89,success,0
2024-11-09,clear,landbase,127-89,failure,0
2024-11-09,clear,landbase,127-65,success,0
2024-11-09,clear,landbase,127-65,failure,0
2024-11-09,clear,landbase,127-76,success,0
2024-11-09,clear,landbase,127-76,failure,0
2024-11-09,clear,landbase,127-71,success,0
2024-11-09,clear,landbase,127-71,failure,0
2024-11-09,clear,landbase,127-72,success,0
2024-11-09,clear,landbase,127-72,failure,0
2024-11-09,clear,web,1,success,0
2024-11-09,clear,web,1,failure,0
2024-11-09,clear,web,127-69,success,0
2024-11-09,clear,web,127-69,failure,0
2024-11-09,clear,web,127-77,success,0
2024-11-09,clear,web,127-77,failure,0
2024-11-09,clear,web,127-89,success,0
2024-11-09,clear,web,127-89,failure,0
2024-11-09,clear,web,127-65,success,0
2024-11-09,clear,web,127-65,failure,0
2024-11-09,clear,web,127-76,success,0
2024-11-09,clear,web,127-76,failure,0
2024-11-09,clear,web,127-71,success,0
2024-11-09,clear,web,127-71,failure,0
2024-11-09,clear,web,127-72,success,0
2024-11-09,clear,web,127-72,failure,0
2024-11-09,roll,landbase,1,success,0
2024-11-09,roll,landbase,1,failure,0
2024-11-09,roll,landbase,127-69,success,0
2024-11-09,roll,landbase,127-69,failure,0
2024-11-09,roll,landbase,127-77,success,0
2024-11-09,roll,landbase,127-77,failure,0
2024-11-09,roll,landbase,127-89,success,0
2024-11-09,roll,landbase,127-89,failure,0
2024-11-09,roll,landbase,127-65,success,0
2024-11-09,roll,landbase,127-65,failure,0
2024-11-09,roll,landbase,127-76,success,0
2024-11-09,roll,landbase,127-76,failure,0
2024-11-09,roll,landbase,127-71,success,0
2024-11-09,roll,landbase,127-71,failure,0
2024-11-09,roll,landbase,127-72,success,0
2024-11-09,roll,landbase,127-72,failure,0
2024-11-09,roll,web,1,success,0
2024-11-09,roll,web,1,failure,0
2024-11-09,roll,web,127-69,success,0
2024-11-09,roll,web,127-69,failure,0
2024-11-09,roll,web,127-77,success,0
2024-11-09,roll,web,127-77,failure,0
2024-11-09,roll,web,127-89,success,0
2024-11-09,roll,web,127-89,failure,0
2024-11-09,roll,web,127-65,success,0
2024-11-09,roll,web,127-65,failure,0
2024-11-09,roll,web,127-76,success,0
2024-11-09,roll,web,127-76,failure,0
2024-11-09,roll,web,127-71,success,0
2024-11-09,roll,web,127-71,failure,0
2024-11-09,roll,web,127-72,success,0
2024-11-09,roll,web,127-72,failure,0
